City,Latitude,Longitude,Max Temperature (°F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country Code,Date & Time
noumea,-22.2763,166.4572,82.4,65,0,6.91,NC,1612824560
daru,-9.0763,143.2092,82.49,81,98,4.63,PG,1612824561
havre-saint-pierre,50.2334,-63.5986,23.0,74,90,13.8,CA,1612824562
brownsville,25.9018,-97.4975,78.8,65,90,17.27,US,1612824486
muhos,64.808,25.9931,-2.2,84,61,2.3,FI,1612824564
lima,-12.0432,-77.0282,75.2,73,40,14.97,PE,1612824566
lutz,28.1511,-82.4615,75.2,69,90,5.75,US,1612824567
stornoway,58.2093,-6.3865,33.8,60,14,10.36,GB,1612824568
portales,34.1862,-103.3344,72.0,5,1,28.77,US,1612824569
gladstone,-23.85,151.25,80.6,61,75,13.8,AU,1612824570
milkovo,54.7167,158.6167,9.43,94,86,5.03,RU,1612824571
lata,40.1629,-8.3327,52.0,93,97,5.01,PT,1612824554
ternate,0.8,127.4,81.37,79,79,5.53,ID,1612824574
la palma,33.8464,-118.0467,64.99,63,20,8.05,US,1612824575
la llanada,1.49,-77.5835,51.44,100,99,3.6,CO,1612824576
canon city,38.441,-105.2424,59.0,10,1,31.07,US,1612824577
itarema,-2.9248,-39.9167,79.47,84,99,10.0,BR,1612824578
hohhot,40.8106,111.6522,10.4,72,0,6.71,CN,1612824579
amapa,1.0,-52.0,73.54,97,98,3.87,BR,1612824580
havelock,34.8791,-76.9013,46.99,61,75,10.36,US,1612824582
acton vale,45.6501,-72.5658,14.0,52,35,2.3,CA,1612824583
formosa,-26.1775,-58.1781,84.2,61,0,3.44,AR,1612824584
blieskastel,49.2372,7.2562,30.0,93,75,3.44,DE,1612824585
nikolskoye,59.7035,30.7861,5.0,84,40,6.71,RU,1612824411
prince rupert,54.3161,-130.3201,30.2,43,90,5.75,CA,1612824376
wichita falls,33.9137,-98.4934,33.8,86,90,10.36,US,1612824589
moron,-34.6534,-58.6198,72.0,68,40,12.66,AR,1612824394
bilibino,68.0546,166.4372,4.68,82,100,7.02,RU,1612824591
rawalpindi,33.6007,73.0679,52.0,73,0,1.01,PK,1612824592
koungou,-12.7336,45.2042,78.8,89,100,8.05,YT,1612824593
nago,26.5881,127.9761,57.2,72,20,10.36,JP,1612824594
yeppoon,-23.1333,150.7333,80.6,69,90,10.36,AU,1612824595
bull savanna,17.8868,-77.5902,76.53,79,53,11.18,JM,1612824597
tibati,6.4667,12.6333,67.46,25,96,3.67,CM,1612824421
imbituba,-28.24,-48.6703,75.2,73,0,8.05,BR,1612824448
yanam,16.7333,82.2167,62.96,88,32,2.77,IN,1612824600
aykhal,66.0,111.5,-19.62,86,99,6.38,RU,1612824544
baoshan,46.5586,131.4244,-3.59,86,5,11.81,CN,1612824605
bayji,34.9311,43.487,58.26,49,85,2.66,IQ,1612824606
ruthin,53.1137,-3.3178,33.01,90,77,5.01,GB,1612824607
ust-maya,60.4167,134.5333,-20.76,86,100,2.75,RU,1612824609
san quintin,30.4833,-115.95,62.02,66,0,6.49,MX,1612824399
graaff-reinet,-32.2522,24.5308,66.0,65,0,1.99,ZA,1612824612
damaturu,11.747,11.9608,67.24,24,4,7.67,NG,1612824613
okhotsk,59.3833,143.3,10.53,88,89,11.65,RU,1612824614
acapulco,16.8634,-99.8901,84.2,65,20,10.36,MX,1612824615
neyvo-shaytanskiy,57.7286,61.2496,-12.42,86,100,12.64,RU,1612824616
ulaangom,49.9811,92.0667,-0.2,90,99,1.21,MN,1612824618
taltal,-25.4,-70.4833,67.78,71,26,6.17,CL,1612824620
nara,34.6851,135.8049,34.0,86,20,5.75,JP,1612824397
pionerskiy,54.9508,20.2275,17.6,86,90,22.37,RU,1612824622
shambu,9.5667,37.1,50.65,47,21,0.87,ET,1612824623
theunissen,-28.411,26.7011,70.11,54,0,9.13,ZA,1612824624
broken hill,-31.95,141.4333,69.8,30,0,9.22,AU,1612824626
la macarena,2.1837,-73.7849,82.99,63,69,2.93,CO,1612824592
moussoro,13.6408,16.4901,72.39,18,59,8.75,TD,1612824628
zhigansk,66.7697,123.3711,-28.16,80,0,7.18,RU,1612824586
samana,19.2056,-69.3369,82.4,78,75,9.35,DO,1612824630
atar,20.5169,-13.0499,63.01,29,0,8.34,MR,1612824631
tocopilla,-22.092,-70.1979,70.86,69,33,4.7,CL,1612824632
bubaque,11.2833,-15.8333,77.49,62,7,13.38,GW,1612824634
arlit,18.7369,7.3853,72.28,17,88,5.61,NE,1612824635
selcuk,37.9514,27.3685,59.0,77,75,12.66,TR,1612824636
sheridan,44.8333,-106.9173,1.99,71,90,14.97,US,1612824259
williams lake,52.1415,-122.1445,-2.2,65,20,2.3,CA,1612824638
turukhansk,65.8167,87.9833,-2.83,89,53,10.54,RU,1612824639
ordzhonikidze,52.4411,61.7408,-13.52,84,62,16.49,KZ,1612824640
montanha,-18.1269,-40.3633,70.32,97,100,7.4,BR,1612824641
port augusta,-32.5,137.7667,78.01,60,0,5.75,AU,1612824643
sebring,27.4956,-81.4409,77.0,78,40,9.22,US,1612824644
harbour breton,47.4833,-55.7983,32.23,96,100,25.41,CA,1612824645
rawson,-43.3002,-65.1023,66.58,49,0,24.38,AR,1612824646
palestine,31.9216,35.2033,61.0,62,0,3.44,PS,1612824648
rexburg,43.826,-111.7897,30.2,59,20,9.22,US,1612824649
cortland,42.6001,-76.083,21.2,42,1,3.36,US,1612824650
arona,28.0996,-16.681,63.0,77,75,6.91,ES,1612824652
terney,45.0503,136.6092,2.35,83,41,9.69,RU,1612824653
tonj,7.2737,28.6822,70.99,21,31,6.4,SS,1612824655
nchelenge,-9.3451,28.734,72.59,83,100,5.86,ZM,1612824656
pimentel,-6.8367,-79.9342,78.8,61,0,21.85,PE,1612824657
homer,59.6425,-151.5483,23.0,63,1,11.5,US,1612824658
tela,15.7833,-87.45,86.0,84,20,14.97,HN,1612824659
noyabrsk,63.1994,75.4507,-12.59,90,81,7.43,RU,1612824660
shelburne,44.0787,-80.2041,12.0,72,83,6.31,CA,1612824662
ingham,42.6,-84.3833,17.6,67,90,2.13,US,1612824663
grindavik,63.8424,-22.4338,30.2,80,0,8.05,IS,1612824563
gao,16.6362,1.637,74.97,17,95,11.36,ML,1612824629
zhezkazgan,47.8043,67.7144,-10.16,89,17,10.94,KZ,1612824666
mishan,45.55,131.8833,-6.36,86,0,7.9,CN,1612824557
bud,39.447,-86.1758,26.01,74,98,4.27,US,1612824669
abu kamal,34.4506,40.9171,60.33,41,100,6.93,SY,1612824670
altamont,42.2068,-121.7372,51.8,13,75,11.5,US,1612824671
kaitong,44.8135,123.15,5.86,92,0,9.78,CN,1612824672
saint-augustin,51.226,-58.6502,34.86,95,100,14.97,CA,1612824673
razdolinsk,58.4211,94.6658,28.2,96,100,9.64,RU,1612824674
goundam,16.4145,-3.6708,72.61,19,100,11.9,ML,1612824675
muros,42.7762,-9.0603,50.0,91,100,14.0,ES,1612824677
cockburn town,21.4612,-71.1419,78.8,73,75,13.8,TC,1612824438
natal,-5.795,-35.2094,82.4,74,20,12.66,BR,1612824679
clarence town,-32.5833,151.7833,75.99,68,75,12.66,AU,1612824680
san diego,32.7153,-117.1573,62.6,59,75,8.05,US,1612824506
yar-sale,66.8333,70.8333,-16.55,89,30,7.2,RU,1612824682
oristano,39.9,8.6,57.2,82,40,16.11,IT,1612824684
waingapu,-9.6567,120.2641,78.67,79,100,5.01,ID,1612824685
chongwe,-15.3292,28.682,69.8,94,90,3.44,ZM,1612824686
puerto cabello,10.4731,-68.0125,84.2,61,20,13.11,VE,1612824687
sokoto,13.0609,5.239,70.16,18,0,8.93,NG,1612824688
vizinga,61.0749,50.1031,-24.86,84,6,7.02,RU,1612824691
kanniyakumari,8.0833,77.5667,75.18,72,52,24.92,IN,1612824555
dawson creek,55.7666,-120.2362,-20.2,63,1,9.22,CA,1612824693
